,Neighborhood,Housing,Safety,Transit,Shopping,Health,Entertainment,Community,Diversity,Education,Employment,Latitude,Longitude
22,High Park North,39.3,65.7,90.0,70.0,69.3,69.3,41.4,29.3,65.7,80.7,43.6517471,-79.4736537
23,Annex,42.1,11.4,99.3,93.6,93.6,97.1,13.6,17.1,85.0,75.0,43.6744212,-79.4018767
24,Casa Loma,60.0,93.6,92.1,25.0,78.6,45.0,31.4,6.4,76.4,92.1,43.6785736,-79.4098886
25,East End-Danforth,49.3,15.0,90.7,84.3,92.1,82.9,71.4,12.9,57.1,62.1,43.6844284,-79.3002045
26,High Park-Swansea,94.3,40.0,67.1,27.9,96.4,48.6,77.9,16.4,32.1,97.1,43.6448658,-79.4564225
27,Corso Italia-Davenport,71.4,68.6,55.7,83.6,28.6,87.9,46.4,45.0,37.1,59.3,43.6776097,-79.4448486
28,Moss Park,52.9,5.7,95.7,95.0,63.6,94.3,14.3,34.3,96.4,64.3,43.6539617,-79.37227
29,Yorkdale-Glen Park,82.9,17.9,92.9,71.4,48.6,65.0,19.3,74.3,80.7,46.4,43.7256617,-79.4555129
30,Lawrence Park South,88.6,89.3,52.9,27.1,86.4,32.9,65.0,1.4,48.6,85.7,43.7178095,-79.3944788
31,Church-Yonge Corridor,39.3,1.4,98.6,97.9,89.3,99.3,1.4,42.1,90.7,54.3,43.6580281,-79.3786708
32,Junction Area,67.1,45.7,70.0,75.7,72.9,81.4,21.4,31.4,25.7,89.3,43.6654346,-79.4664262
33,Little Portugal,52.1,40.7,78.6,97.1,23.6,92.1,65.0,32.9,28.6,83.6,43.6425424,-79.4270994
34,Waterfront Communities-The Island,64.3,2.9,97.9,78.6,30.7,90.7,28.6,42.9,81.4,90.0,43.6385871,-79.3870159
35,Blake-Jones,60.7,70.7,65.7,78.6,37.9,76.4,22.1,22.9,87.9,53.6,43.6742076,-79.3346082
36,Greenwood-Coxwell,62.9,37.1,60.7,87.9,75.7,85.7,52.1,20.7,21.4,65.0,43.6721287,-79.3226098
37,Bridle Path-Sunnybrook-York Mills,91.4,82.1,38.6,5.7,85.0,2.9,87.9,27.1,98.6,60.7,43.731316,-79.3617564
38,Roncesvalles,45.0,34.3,79.3,95.7,67.1,91.4,55.0,15.7,15.0,70.0,43.6510533,-79.4508639
39,Kensington-Chinatown,25.0,4.3,95.0,100.0,82.9,98.6,5.0,56.4,97.1,31.4,43.6542925,-79.3914465
40,Stonegate-Queensway,70.7,57.9,48.6,31.4,82.1,44.3,80.7,25.7,50.7,85.0,43.6307056,-79.5044601
41,Forest Hill North,12.9,97.9,83.6,45.0,85.0,72.9,12.1,36.4,55.7,74.3,43.7037484,-79.4202414
42,Woodbine Corridor,62.1,57.1,52.1,73.6,50.0,71.4,69.3,5.0,48.6,73.6,43.676802,-79.314898
43,Forest Hill South,67.9,92.9,64.3,12.9,67.1,27.1,33.6,7.9,95.7,87.1,43.6892022,-79.410157
44,Thistletown-Beaumond Heights,74.3,85.7,25.7,35.7,57.9,43.6,97.9,75.0,5.0,30.0,43.7312511,-79.5595867
45,Woodbine-Lumsden,73.6,95.7,49.3,37.1,55.0,24.3,90.0,15.0,12.1,69.3,43.6970317,-79.3146415
46,Islington-City Centre West,68.6,7.1,82.1,45.7,77.9,57.1,25.7,49.3,75.0,67.1,43.6463482,-79.5594042
47,Markland Wood,93.6,96.4,17.9,25.0,53.6,17.9,57.1,30.0,52.9,77.1,43.63185,-79.574973
48,Dufferin Grove,47.1,55.7,75.7,54.3,17.1,88.6,7.9,40.0,92.9,63.6,43.6565487,-79.4308574
49,Regent Park,20.7,77.1,71.4,76.4,14.3,82.1,82.9,61.4,21.4,25.7,43.6604868,-79.3613177
50,Agincourt South-Malvern West,35.7,29.3,44.3,60.0,81.4,62.9,39.3,97.9,80.0,29.3,43.7831227,-79.2883898
51,Birchcliffe-Cliffside,77.1,32.9,42.1,43.6,77.1,42.9,90.0,5.7,62.9,57.1,43.6977536,-79.2562727
52,North St. James Town,10.0,25.7,85.7,98.6,84.3,90.0,9.3,67.9,42.1,20.0,43.668223,-79.3778708
53,Lansing-Westgate,46.4,42.9,82.9,23.6,66.4,41.4,54.3,48.6,68.6,70.7,43.7419825,-79.4299309
54,Oakwood Village,11.4,54.3,53.6,80.7,27.9,75.7,70.7,50.7,78.6,55.0,43.6931003,-79.43941
55,Banbury-Don Mills,55.7,50.0,45.7,17.1,61.4,34.3,74.3,53.6,88.6,72.9,43.7341574,-79.3448957
56,Hillcrest Village,41.4,60.0,15.7,42.1,67.1,47.9,42.9,95.7,97.9,41.4,43.8100753,-79.3560563
57,Milliken,32.9,31.4,31.4,70.7,80.7,66.4,68.6,100.0,42.9,15.7,43.8302202,-79.271286
58,Niagara,75.7,14.3,84.3,67.1,15.7,79.3,15.7,30.0,35.7,92.9,43.6387268,-79.4177163
59,Briar Hill-Belgravia,55.7,64.3,54.3,87.1,12.9,77.9,2.1,75.7,6.4,42.9,43.6997278,-79.4480178
60,South Riverdale,76.4,7.9,87.9,61.4,35.0,70.7,34.3,24.3,10.7,87.1,43.6603539,-79.3433331
61,Lambton Baby Point,92.9,100.0,22.1,4.3,35.7,7.9,85.0,21.4,52.1,65.7,43.6585745,-79.4881959
62,Alderwood,97.9,70.0,37.1,18.6,8.6,40.0,91.4,20.0,20.7,76.4,43.6089153,-79.5296674
63,Guildwood,94.3,94.3,0.7,2.1,47.1,2.1,85.7,17.9,83.6,61.4,43.7487948,-79.1933559
64,Long Branch,66.4,92.1,27.9,62.9,32.9,65.7,4.3,14.3,27.1,67.9,43.588776,-79.5323667
65,Princess-Rosethorn,98.6,58.6,18.6,0.7,52.1,0.7,69.3,26.4,85.7,91.4,43.668272,-79.5339015
66,York University Heights,40.7,2.1,68.6,56.4,79.3,57.9,63.6,82.9,47.9,10.0,43.7720536,-79.5133258
67,Centennial Scarborough,85.0,99.3,2.1,2.9,62.9,10.7,92.9,33.6,17.9,66.4,43.7798998,-79.1680373
68,Wexford/Maryvale,55.0,15.7,45.7,58.6,52.9,52.9,80.0,52.1,57.1,32.1,43.7303071,-79.2992152
69,Willowdale West,14.3,62.1,66.4,42.1,20.0,67.1,30.0,77.9,91.4,43.6,43.7697102,-79.4155655
70,St. Andrew-Windfields,45.7,58.6,56.4,19.3,74.3,27.9,5.7,60.0,95.0,56.4,43.7474651,-79.3913502
71,Keelesdale-Eglinton West,37.1,80.0,10.7,85.7,11.4,74.3,10.7,80.7,59.3,27.9,43.6874727,-79.4803319
72,Dovercourt-Wallace Emerson-Junction,26.4,12.1,93.6,85.0,21.4,80.7,23.6,43.6,51.4,57.9,43.6661874,-79.4194252
73,Humber Heights-Westmount,87.1,71.4,10.0,22.9,10.7,12.9,99.3,54.3,55.0,55.7,43.69951,-79.5247605
74,Thorncliffe Park,7.1,63.6,57.9,74.3,72.1,50.7,46.4,96.4,3.6,4.3,43.7069859,-79.3432801
75,Henry Farm,0.7,81.4,32.9,45.7,47.9,68.6,58.6,92.9,47.1,20.7,43.7686608,-79.3565202
76,West Humber-Clairville,77.9,0.7,42.9,7.9,76.4,26.4,82.1,88.6,60.0,28.6,43.7318861,-79.5913767
77,Pelmo Park-Humberlea,95.7,67.1,13.6,15.0,24.3,18.6,97.1,57.9,2.9,60.0,43.7222996,-79.5352531
78,Willowridge-Martingrove-Richview,79.3,42.1,30.7,41.4,15.0,15.0,96.4,52.1,52.9,47.9,43.6838786,-79.5423018
79,Newtonbrook East,17.1,67.9,50.7,35.7,45.0,39.3,16.4,92.1,92.1,38.6,43.7897492,-79.4050546
